X Y Z K_gauss trend plunge
4399913.842 7472885.23 -6205.805594 1.02E-10 264.252 78.256
4399983.362 7472885.23 -6190.750727 8.18E-11 264.456 77.973
4400052.883 7472885.23 -6175.574125 6.41E-11 264.646 77.705
4400122.404 7472885.23 -6160.229763 4.87E-11 264.823 77.449
4400191.924 7472885.23 -6144.684911 3.52E-11 264.993 77.202
4400261.445 7472885.23 -6128.922862 2.30E-11 265.158 76.959
4400330.965 7472885.23 -6112.932135 1.14E-11 265.322 76.714
4400400.486 7472885.23 -6096.694453 1.04E-13 265.489 76.46
4400470.006 7472885.23 -6080.173945 -1.09E-11 265.661 76.193
4400539.527 7472885.23 -6063.3139 -2.13E-11 265.839 75.907
4400609.047 7472885.23 -6046.047736 -3.11E-11 266.02 75.599
4400678.568 7472885.23 -6028.317665 -4.02E-11 266.205 75.268
4400748.088 7472885.23 -6010.086484 -4.86E-11 266.391 74.91
4400817.609 7472885.23 -5991.337421 -5.65E-11 266.577 74.523
4400887.13 7472885.23 -5972.066862 -6.37E-11 266.763 74.106
4400956.65 7472885.23 -5952.273594 -6.98E-11 266.949 73.656
4401026.171 7472885.23 -5931.948377 -7.44E-11 267.135 73.171
4401095.691 7472885.23 -5911.070629 -7.74E-11 267.319 72.65
4401165.212 7472885.23 -5889.609784 -7.84E-11 267.502 72.092
4401234.732 7472885.23 -5867.518561 -7.76E-11 267.683 71.498
4401304.253 7472885.23 -5844.719375 -7.50E-11 267.862 70.866
4401373.773 7472885.23 -5821.105172 -7.11E-11 268.039 70.198
4401443.294 7472885.23 -5796.562781 -6.58E-11 268.213 69.498
4401512.814 7472885.23 -5770.996454 -5.90E-11 268.383 68.77
4401582.335 7472885.23 -5744.332099 -4.93E-11 268.549 68.023
4401651.856 7472885.23 -5716.509429 -3.51E-11 268.709 67.267
4401721.376 7472885.23 -5687.472167 -1.44E-11 268.86 66.514
4401790.897 7472885.23 -5657.155325 1.32E-11 269.001 65.776
4401860.417 7472885.23 -5625.479951 4.60E-11 269.13 65.062
4401929.938 7472885.23 -5592.374979 8.03E-11 269.246 64.379
4401999.458 7472885.23 -5557.820035 1.12E-10 269.348 63.734
4402068.979 7472885.23 -5521.881672 1.37E-10 269.437 63.131
4402138.499 7472885.23 -5484.731799 1.55E-10 269.513 62.571
4402208.02 7472885.23 -5446.649397 1.64E-10 269.578 62.057
4402277.54 7472885.23 -5407.98815 1.67E-10 269.632 61.588
4402347.061 7472885.23 -5369.090903 1.64E-10 269.676 61.162
4402416.582 7472885.23 -5330.175053 1.57E-10 269.712 60.778
4402486.102 7472885.23 -5291.252785 1.48E-10 269.741 60.434
4402555.623 7472885.23 -5252.138278 1.38E-10 269.762 60.124
4402625.143 7472885.23 -5212.545913 1.27E-10 269.777 59.845
